id,last_name,first_name,job_title,grade,email
1,Акимов,Роберт,Дизайнер,Middle,pohe_vibota4@rosbank.ru
2,Аксенова,Аделина,Дизайнер,Middle,meyot-erafi75@rosbank.ru
3,Александров,Глеб,Менеджер продукта,Junior,ketixo_lapi45@rosbank.ru
4,Александров,Ярослав,Дизайнер,Middle,giziyu-xoda21@rosbank.ru
5,Алексеева,Вероника,Менеджер проекта,Middle,ruli-camovu18@rosbank.ru
6,Андреев,Василий,Тимлид,Junior,fahaf-ufamo14@rosbank.ru
7,Афанасьева,Дарья,Менеджер проекта,Junior,lavebah_ovu54@rosbank.ru
8,Борисов,Марк,Менеджер продукта,Senior,hav_adocaya79@rosbank.ru
9,Буров,Гордей,Дизайнер,Junior,xiyufuj-ipa40@rosbank.ru
10,Васильева,Айлин,Менеджер продукта,Middle,bumi_difeko35@rosbank.ru
11,Вишневская,Софья,Системный аналитик,Junior,pubo-zumetu73@rosbank.ru
12,Волков,Андрей,Разработчик / Программист,Middle,tula_yowiye40@rosbank.ru
13,Волков,Денис,Разработчик / Программист,Junior,jodosoc-umu51@rosbank.ru
14,Волкова,Ксения,Бизнес Аналитик,Middle,vefag-ipewa86@rosbank.ru
15,Герасимова,Юлия,Тестировщик,Middle,fujiw_ipego37@rosbank.ru
16,Грачев,Александр,Менеджер продукта,Middle,hitoloy_uca73@rosbank.ru
17,Грачев,Сергей,Разработчик / Программист,Senior,wamivi-razu34@rosbank.ru
18,Греков,Фёдор,Разработчик / Программист,Junior,wukibet-alu35@rosbank.ru
19,Григорьев,Павел,Бизнес Аналитик,Junior,tekuc-isuwe9@rosbank.ru
20,Григорьев,Сергей,Разработчик / Программист,Middle,saledop-eta92@rosbank.ru
21,Гришина,Полина,Разработчик / Программист,Junior,cumediw_eyu36@rosbank.ru
22,Дегтярева,Александра,Менеджер продукта,Junior,yifawof-aju83@rosbank.ru
23,Демидов,Роман,Тестировщик,Junior,mif-ubofani24@rosbank.ru
24,Дубов,Тимур,Менеджер продукта,Middle,miyekek_ila8@rosbank.ru
25,Евсеева,Ксения,Тимлид,Middle,vivuhi_reho3@rosbank.ru
26,Емельянов,Александр,Тимлид,Middle,yovelah-iyo89@rosbank.ru
