id,first_name,last_name,email,job_title,grade
1,Роберт,Акимов,pohe_vibota4@rosbank.ru,Дизайнер,Middle
2,Аделина,Аксенова,meyot-erafi75@rosbank.ru,Дизайнер,Middle
3,Глеб,Александров,ketixo_lapi45@rosbank.ru,Менеджер продукта,Junior
4,Ярослав,Александров,giziyu-xoda21@rosbank.ru,Дизайнер,Middle
5,Вероника,Алексеева,ruli-camovu18@rosbank.ru,Менеджер проекта,Middle
6,Василий,Андреев,fahaf-ufamo14@rosbank.ru,Тимлид,Junior
7,Дарья,Афанасьева,lavebah_ovu54@rosbank.ru,Менеджер проекта,Junior
8,Марк,Борисов,hav_adocaya79@rosbank.ru,Менеджер продукта,Senior
9,Гордей,Буров,xiyufuj-ipa40@rosbank.ru,Дизайнер,Junior
10,Айлин,Васильева,bumi_difeko35@rosbank.ru,Менеджер продукта,Middle
11,Софья,Вишневская,pubo-zumetu73@rosbank.ru,Системный аналитик,Junior
12,Андрей,Волков,tula_yowiye40@rosbank.ru,Разработчик / Программист,Middle
13,Денис,Волков,jodosoc-umu51@rosbank.ru,Разработчик / Программист,Junior
14,Ксения,Волкова,vefag-ipewa86@rosbank.ru,Бизнес Аналитик,Middle
15,Юлия,Герасимова,fujiw_ipego37@rosbank.ru,Тестировщик,Middle
16,Александр,Грачев,hitoloy_uca73@rosbank.ru,Менеджер продукта,Middle
17,Сергей,Грачев,wamivi-razu34@rosbank.ru,Разработчик / Программист,Senior
18,Фёдор,Греков,wukibet-alu35@rosbank.ru,Разработчик / Программист,Junior
19,Павел,Григорьев,tekuc-isuwe9@rosbank.ru,Бизнес Аналитик,Junior
20,Сергей,Григорьев,saledop-eta92@rosbank.ru,Разработчик / Программист,Middle
21,Полина,Гришина,cumediw_eyu36@rosbank.ru,Разработчик / Программист,Junior
22,Александра,Дегтярева,yifawof-aju83@rosbank.ru,Менеджер продукта,Junior
23,Роман,Демидов,mif-ubofani24@rosbank.ru,Тестировщик,Junior
24,Тимур,Дубов,miyekek_ila8@rosbank.ru,Менеджер продукта,Middle
25,Ксения,Евсеева,vivuhi_reho3@rosbank.ru,Тимлид,Middle
26,Александр,Емельянов,yovelah-iyo89@rosbank.ru,Тимлид,Middle
27,Тимур,Ермилов,kud_igatapo89@rosbank.ru,Системный аналитик,Junior
28,Варвара,Ершова,napiwi_turu38@rosbank.ru,Тимлид,Middle
29,Вера,Ефимова,tukohen_ako29@rosbank.ru,Разработчик / Программист,Middle
30,Вячеслав,Ефремов,zedopi-huwe29@rosbank.ru,Тимлид,Senior
31,Роман,Ефремов,wowas-ufoti12@rosbank.ru,Менеджер проекта,Senior
32,Максим,Журавлев,tiyime-nila31@rosbank.ru,Тестировщик,Middle
33,Арина,Захарова,hul-ocakomu70@rosbank.ru,Дизайнер,Middle
34,Ульяна,Захарова,poka_suwoju72@rosbank.ru,Тимлид,Senior
35,Ева,Зиновьева,yedo-dekija2@rosbank.ru,Дизайнер,Junior
36,Давид,Зотов,metelu_como77@rosbank.ru,Разработчик / Программист,Junior
37,Нина,Ильина,kiwoti-wure2@rosbank.ru,Менеджер продукта,Middle
38,Александр,Исаев,neku-mehebi63@rosbank.ru,Менеджер проекта,Middle
39,Милана,Казакова,jajuzat-uya77@rosbank.ru,Дизайнер,Middle
40,Мия,Калашникова,sacol-ajuti62@rosbank.ru,Тестировщик,Middle
41,Милана,Кириллова,dejir-iwede20@rosbank.ru,Бизнес Аналитик,Junior
42,София,Климова,sulor-inola46@rosbank.ru,Дизайнер,Middle
43,Диана,Князева,fire-bujuti53@rosbank.ru,Менеджер продукта,Senior
44,Агата,Колесникова,zabexuz_ino22@rosbank.ru,Системный аналитик,Senior
45,Вера,Комарова,won_ufowuzo29@rosbank.ru,Менеджер проекта,Junior
46,Малика,Комиссарова,navegu-hodo70@rosbank.ru,Разработчик / Программист,Middle
47,Михаил,Костин,xur_uzafine85@rosbank.ru,Менеджер проекта,Middle
48,Матвей,Кузнецов,yonuxe_fuye4@rosbank.ru,Системный аналитик,Junior
49,Роман,Кузнецов,kuyuk_evepi66@rosbank.ru,Разработчик / Программист,Senior
50,Савелий,Кузнецов,nemuz_ubara8@rosbank.ru,Тимлид,Junior
51,Василиса,Кузнецова,xus-ajofefi63@rosbank.ru,Менеджер проекта,Junior
52,Мария,Куприянова,corebun_iya27@rosbank.ru,Тестировщик,Junior
53,Василиса,Ларина,rewumo-teyu86@rosbank.ru,Разработчик / Программист,Junior
54,Нина,Лукина,hawo_mirenu98@rosbank.ru,Дизайнер,Junior
55,Адам,Львов,fiv_omiyewo29@rosbank.ru,Системный аналитик,Junior
56,Алиса,Майорова,focu-dugebu14@rosbank.ru,Бизнес Аналитик,Junior
57,Никита,Макаров,binu-gulene65@rosbank.ru,Менеджер продукта,Junior
58,Ксения,Маркина,xinir_oliyi61@rosbank.ru,Тестировщик,Middle
59,Василий,Матвеев,fede-fohuyu81@rosbank.ru,Тестировщик,Junior
60,Аделина,Михайлова,teyepex_aho45@rosbank.ru,Менеджер продукта,Junior
61,Алиса,Михайлова,tanuj_ecaye35@rosbank.ru,Системный аналитик,Junior
62,Али,Муравьев,rajem_ehaco19@rosbank.ru,Бизнес Аналитик,Senior
63,Андрей,Никитин,lapelef-upo75@rosbank.ru,Тестировщик,Junior
64,Даниил,Николаев,roxeh-oputi3@rosbank.ru,Тимлид,Middle
65,Елизавета,Никулина,cet-avetila52@rosbank.ru,Тимлид,Junior
66,Ксения,Озерова,hiza-tisiso59@rosbank.ru,Тестировщик,Middle
67,Сафия,Орлова,weme-wibade34@rosbank.ru,Менеджер продукта,Senior
68,Никита,Павлов,diwanoz_utu95@rosbank.ru,Тимлид,Junior
69,Дарина,Павлова,bixotu-naju57@rosbank.ru,Системный аналитик,Junior
70,Камила,Павлова,kulune_miya55@rosbank.ru,Разработчик / Программист,Junior
71,Дарья,Панина,vaz-etinuhe79@rosbank.ru,Системный аналитик,Senior
72,Григорий,Панов,debizup_ufi88@rosbank.ru,Бизнес Аналитик,Senior
73,Алиса,Панова,vafih-agelo19@rosbank.ru,Разработчик / Программист,Junior
74,Руслан,Парфенов,bamaro-kidu49@rosbank.ru,Менеджер проекта,Senior
